sku,name,description,category,barcode,selling_price,cost_price,tax_rate,stock,min_stock_level,max_stock_level,reorder_point,reorder_quantity,unit_of_measure,supplier_name,supplier_contact,is_active,receipt_number,transaction_date,location_name,quantity,unit_price,discount_amount,tax_amount,payment_method,customer_name,customer_email,customer_phone,cashier_name,notes
BEV-028,Arizona Arnold Palmer 23oz,Arizona Arnold Palmer Half & Half 23oz,Beverages,061300877060,1.29,0.65,8.25,278,24,200,36,100,each,Arizona Beverages,orders@arizona.com,true,,,,,,,,,,,,,
BEV-029,Honest Tea Organic Peach 16.9oz,Honest Tea Organic Peach 16.9oz,Beverages,657622601028,2.49,1.25,8.25,98,18,120,24,60,each,Honest Tea,orders@honesttea.com,true,,,,,,,,,,,,,
BEV-030,Minute Maid Orange Juice 15.2oz,Minute Maid Orange Juice 15.2oz,Beverages,025000047033,2.99,1.55,8.25,124,18,120,24,60,each,Coca-Cola Co,orders@coca-cola.com,true,,,,,,,,,,,,,
BEV-031,Tropicana Orange Juice 12oz,Tropicana Pure Premium Orange Juice 12oz,Beverages,048500020103,2.49,1.25,8.25,134,18,120,24,60,each,PepsiCo,orders@pepsico.com,true,,,,,,,,,,,,,
BEV-032,Vitaminwater XXX 20oz,Vitaminwater XXX Acai-Blueberry 20oz,Beverages,007861271038,2.49,1.25,8.25,145,18,120,24,60,each,Glaceau,orders@glaceau.com,true,,,,,,,,,,,,,
BEV-033,BodyArmor Sports Drink 16oz,BodyArmor Fruit Punch 16oz,Beverages,085089200031,2.49,1.35,8.25,156,18,120,24,60,each,BodyArmor,orders@bodyarmor.com,true,,,,,,,,,,,,,
BEV-034,Bang Energy 16oz,Bang Rainbow Unicorn Energy 16oz,Beverages,061076400101,2.99,1.65,8.25,112,18,120,24,60,each,VPX Sports,orders@vpxsports.com,true,,,,,,,,,,,,,
BEV-035,Yerba Mate Guayaki 15.5oz,Yerba Mate Guayaki Enlighten Mint 15.5oz,Beverages,632432000015,2.99,1.55,8.25,78,12,100,18,50,each,Guayaki,orders@guayaki.com,true,,,,,,,,,,,,,
BEV-036,Sparkling Ice Cherry Limeade 17oz,Sparkling Ice Cherry Limeade 17oz,Beverages,016571102019,1.99,0.95,8.25,198,24,200,36,100,each,TalkingRain,orders@talkingrain.com,true,,,,,,,,,,,,,
BEV-037,LaCroix Lime 12oz Can,LaCroix Lime Sparkling Water 12oz,Beverages,012993010015,0.99,0.45,8.25,567,48,400,60,200,each,LaCroix,orders@lacroix.com,true,,,,,,,,,,,,,
BEV-038,Perrier Slim Can Lime 8.45oz,Perrier Sparkling Lime 8.45oz Can,Beverages,074780645025,1.49,0.75,8.25,356,36,300,48,150,each,Perrier,orders@perrier.com,true,,,,,,,,,,,,,
BEV-039,Milk 2% Gallon,2% Reduced Fat Milk 1 Gallon,Dairy,041250000022,3.99,2.35,8.25,112,12,80,18,40,each,Local Dairy,orders@localdairy.com,true,,,,,,,,,,,,,
BEV-040,Milk Whole Gallon,Whole Milk 1 Gallon,Dairy,041250000015,3.99,2.35,8.25,108,12,80,18,40,each,Local Dairy,orders@localdairy.com,true,,,,,,,,,,,,,
BEV-041,Chocolate Milk Pint,Chocolate Milk 1 Pint,Dairy,041250000039,1.99,1.15,8.25,156,24,150,30,75,each,Local Dairy,orders@localdairy.com,true,,,,,,,,,,,,,
BEV-042,Oat Milk Oatly 32oz,Oatly Original Oat Milk 32oz,Dairy,190646390037,4.49,2.65,8.25,78,12,80,18,40,each,Oatly,orders@oatly.com,true,,,,,,,,,,,,,
BEV-043,Almond Milk Silk 32oz,Silk Original Almond Milk 32oz,Dairy,025293001023,3.49,2.05,8.25,89,12,80,18,40,each,Silk,orders@silk.com,true,,,,,,,,,,,,,
SNK-001,Lay's Classic 2.75oz,Lay's Classic Potato Chips 2.75oz,Snacks,028400000045,2.29,1.15,8.25,334,24,200,36,100,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-002,Lay's BBQ 2.75oz,Lay's BBQ Potato Chips 2.75oz,Snacks,028400000052,2.29,1.15,8.25,298,24,200,36,100,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-003,Doritos Nacho Cheese 3.125oz,Doritos Nacho Cheese 3.125oz,Snacks,028400000069,2.49,1.25,8.25,176,24,200,36,100,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-004,Doritos Cool Ranch 3.125oz,Doritos Cool Ranch 3.125oz,Snacks,028400000076,2.49,1.25,8.25,128,24,200,36,100,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-005,Cheetos Crunchy 3.375oz,Cheetos Crunchy Cheese 3.375oz,Snacks,028400000083,2.49,1.25,8.25,154,24,200,36,100,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-006,Cheetos Flamin' Hot 3.375oz,Cheetos Flamin' Hot 3.375oz,Snacks,028400000090,2.49,1.25,8.25,142,24,200,36,100,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-007,Funyuns 2.125oz,Funyuns Onion Flavored Rings 2.125oz,Snacks,028400000106,2.29,1.15,8.25,163,18,150,24,75,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-008,Takis Fuego 9.9oz,Takis Fuego Chili Lime 9.9oz,Snacks,075565100103,4.49,2.50,8.25,39,12,80,18,40,each,Barcel,orders@barcelusa.com,true,,,,,,,,,,,,,
SNK-009,Takis Blue Heat 9.9oz,Takis Blue Heat 9.9oz,Snacks,075565100110,4.49,2.50,8.25,467,12,80,18,40,each,Barcel,orders@barcelusa.com,true,,,,,,,,,,,,,
SNK-010,Pringles Original 5.2oz,Pringles Original Potato Crisps 5.2oz,Snacks,038000010017,3.49,1.85,8.25,243,18,120,24,60,each,Kellogg's,orders@kelloggs.com,true,,,,,,,,,,,,,
SNK-011,Pringles Sour Cream 5.2oz,Pringles Sour Cream & Onion 5.2oz,Snacks,038000010024,3.49,1.85,8.25,198,18,120,24,60,each,Kellogg's,orders@kelloggs.com,true,,,,,,,,,,,,,
SNK-012,Pringles BBQ 5.2oz,Pringles BBQ 5.2oz,Snacks,038000010031,3.49,1.85,8.25,134,18,120,24,60,each,Kellogg's,orders@kelloggs.com,true,,,,,,,,,,,,,
SNK-013,Ruffles Original 2.5oz,Ruffles Original Potato Chips 2.5oz,Snacks,028400000123,2.29,1.15,8.25,489,18,150,24,75,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-014,Ruffles Cheddar 2.5oz,Ruffles Cheddar & Sour Cream 2.5oz,Snacks,028400000130,2.29,1.15,8.25,512,18,150,24,75,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-015,SunChips Harvest Cheddar 7oz,SunChips Harvest Cheddar 7oz,Snacks,028400000147,3.99,2.15,8.25,467,12,80,18,40,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-016,Chex Mix Traditional 3.75oz,Chex Mix Traditional 3.75oz,Snacks,016000160038,2.99,1.55,8.25,345,18,120,24,60,each,General Mills,orders@generalmills.com,true,,,,,,,,,,,,,
SNK-017,Chex Mix Cheddar 3.75oz,Chex Mix Cheddar 3.75oz,Snacks,016000160045,2.99,1.55,8.25,478,18,120,24,60,each,General Mills,orders@generalmills.com,true,,,,,,,,,,,,,
SNK-018,Gardetto's Original 5.5oz,Gardetto's Original Recipe 5.5oz,Snacks,016000160052,3.49,1.85,8.25,523,12,80,18,40,each,General Mills,orders@generalmills.com,true,,,,,,,,,,,,,
SNK-019,Planters Salted Peanuts 1.75oz,Planters Salted Peanuts 1.75oz,Snacks,029000010065,1.49,0.75,8.25,267,36,300,48,150,each,Planters,orders@planters.com,true,,,,,,,,,,,,,
SNK-020,Planters Honey Roasted Peanuts 1.75oz,Planters Honey Roasted Peanuts 1.75oz,Snacks,029000010072,1.49,0.75,8.25,289,36,300,48,150,each,Planters,orders@planters.com,true,,,,,,,,,,,,,
SNK-021,David Sunflower Seeds Original 5.25oz,David Original Sunflower Seeds 5.25oz,Snacks,026200010089,1.99,1.05,8.25,198,24,200,36,100,each,Conagra,orders@conagra.com,true,,,,,,,,,,,,,
SNK-022,David Sunflower Seeds Ranch 5.25oz,David Ranch Sunflower Seeds 5.25oz,Snacks,026200010096,1.99,1.05,8.25,178,24,200,36,100,each,Conagra,orders@conagra.com,true,,,,,,,,,,,,,
SNK-023,Combos Cheddar Cheese Pretzel 6.3oz,Combos Cheddar Cheese Pretzel 6.3oz,Snacks,017000010102,2.99,1.55,8.25,134,18,120,24,60,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
SNK-024,Combos Pepperoni Pizza 6.3oz,Combos Pepperoni Pizza 6.3oz,Snacks,017000010119,2.99,1.55,8.25,145,18,120,24,60,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
SNK-025,Beef Jerky Original 3oz,Jack Link's Original Beef Jerky 3oz,Snacks,017820000045,6.99,3.85,8.25,87,12,80,18,40,each,Jack Link's,orders@jacklinks.com,true,,,,,,,,,,,,,
SNK-026,Beef Jerky Teriyaki 3oz,Jack Link's Teriyaki Beef Jerky 3oz,Snacks,017820000052,6.99,3.85,8.25,92,12,80,18,40,each,Jack Link's,orders@jacklinks.com,true,,,,,,,,,,,,,
SNK-027,Slim Jim Original 0.97oz,Slim Jim Original Smoked Snack Stick 0.97oz,Snacks,026200000015,1.29,0.65,8.25,367,36,300,48,150,each,Conagra,orders@conagra.com,true,,,,,,,,,,,,,
SNK-028,Slim Jim Hot 0.97oz,Slim Jim Hot Smoked Snack Stick 0.97oz,Snacks,026200000022,1.29,0.65,8.25,189,36,300,48,150,each,Conagra,orders@conagra.com,true,,,,,,,,,,,,,
SNK-029,Pepperoni Stick Jack Links 1.5oz,Jack Link's Pepperoni Beef Stick 1.5oz,Snacks,017820000069,2.49,1.35,8.25,134,24,200,36,100,each,Jack Link's,orders@jacklinks.com,true,,,,,,,,,,,,,
SNK-030,Pop Secret Movie Theater Butter 3.2oz,Pop Secret Movie Theater Butter 3.2oz,Snacks,028400010179,2.49,1.25,8.25,145,18,120,24,60,each,Diamond Foods,orders@diamondfoods.com,true,,,,,,,,,,,,,
SNK-031,Act II Butter Lovers 2.75oz,Act II Butter Lovers Popcorn 2.75oz,Snacks,076150010186,1.99,0.95,8.25,198,24,200,36,100,each,Conagra,orders@conagra.com,true,,,,,,,,,,,,,
SNK-032,Bugles Original 7.5oz,Bugles Original Corn Snacks 7.5oz,Snacks,016000010193,2.99,1.55,8.25,142,18,120,24,60,each,General Mills,orders@generalmills.com,true,,,,,,,,,,,,,
SNK-033,Cracker Jack Original 1.25oz,Cracker Jack Original 1.25oz,Snacks,028000010209,1.29,0.65,8.25,267,36,300,48,150,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-034,Smartfood White Cheddar 1.5oz,Smartfood White Cheddar Popcorn 1.5oz,Snacks,028400010216,2.29,1.15,8.25,189,24,200,36,100,each,Frito-Lay,orders@fritolay.com,true,,,,,,,,,,,,,
SNK-035,Skinny Pop Original 1oz,Skinny Pop Original Popcorn 1oz,Snacks,081672010223,1.99,1.05,8.25,178,24,200,36,100,each,Skinny Pop,orders@skinnypop.com,true,,,,,,,,,,,,,
SNK-036,Blue Diamond Almonds Smokehouse 1.5oz,Blue Diamond Smokehouse Almonds 1.5oz,Snacks,041570010230,2.49,1.35,8.25,234,24,200,36,100,each,Blue Diamond,orders@bluediamond.com,true,,,,,,,,,,,,,
SNK-037,Honey Roasted Cashews 1.875oz,Honey Roasted Cashews 1.875oz,Snacks,029000010247,3.49,1.95,8.25,89,18,120,24,60,each,Planters,orders@planters.com,true,,,,,,,,,,,,,
SNK-038,Chex Mix Muddy Buddies 4.5oz,Chex Mix Muddy Buddies 4.5oz,Snacks,016000010254,3.49,1.85,8.25,134,18,120,24,60,each,General Mills,orders@generalmills.com,true,,,,,,,,,,,,,
SNK-039,Pretzel Crisps Original 3oz,Pretzel Crisps Original 3oz,Snacks,049508010261,2.99,1.55,8.25,156,18,120,24,60,each,Snyder's,orders@snyders.com,true,,,,,,,,,,,,,
SNK-040,Snyder's Pretzels Mini 3.5oz,Snyder's Mini Pretzels 3.5oz,Snacks,077975010278,2.49,1.25,8.25,234,24,200,36,100,each,Snyder's,orders@snyders.com,true,,,,,,,,,,,,,
SNK-041,Utz Cheese Balls 1.875oz,Utz Cheese Balls 1.875oz,Snacks,047600010285,1.99,1.05,8.25,178,24,200,36,100,each,Utz,orders@utz.com,true,,,,,,,,,,,,,
SNK-042,Wise Honey BBQ Chips 1.5oz,Wise Honey BBQ Potato Chips 1.5oz,Snacks,041262010292,1.79,0.95,8.25,145,24,200,36,100,each,Wise,orders@wise.com,true,,,,,,,,,,,,,
CND-001,Hershey Bar 1.55oz,Hershey's Milk Chocolate Bar 1.55oz,Candy,034000000042,1.79,0.95,8.25,534,36,300,48,150,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-002,Hershey Bar Almond 1.45oz,Hershey's Milk Chocolate with Almonds 1.45oz,Candy,034000000059,1.79,0.95,8.25,412,36,300,48,150,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-003,Snickers Bar 1.86oz,Snickers Chocolate Candy Bar 1.86oz,Candy,040000000059,1.79,0.95,8.25,567,36,300,48,150,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
CND-004,Snickers Almond 1.86oz,Snickers Almond Bar 1.86oz,Candy,040000000066,1.79,0.95,8.25,489,36,300,48,150,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
CND-005,Twix Bar 1.79oz,Twix Caramel Cookie Bar 1.79oz,Candy,040000000073,1.79,0.95,8.25,523,36,300,48,150,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
CND-006,Milky Way Bar 1.84oz,Milky Way Chocolate Bar 1.84oz,Candy,040000000080,1.79,0.95,8.25,445,36,300,48,150,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
CND-007,3 Musketeers Bar 1.92oz,3 Musketeers Chocolate Bar 1.92oz,Candy,040000000097,1.79,0.95,8.25,478,36,300,48,150,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
CND-008,M&Ms Peanut 1.74oz,M&Ms Peanut Chocolate Candies 1.74oz,Candy,040000000103,1.79,0.95,8.25,612,36,300,48,150,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
CND-009,M&Ms Milk Chocolate 1.69oz,M&Ms Milk Chocolate Candies 1.69oz,Candy,040000000110,1.79,0.95,8.25,589,36,300,48,150,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
CND-010,M&Ms Peanut Butter 1.63oz,M&Ms Peanut Butter Chocolate 1.63oz,Candy,040000000127,1.79,0.95,8.25,556,36,300,48,150,each,Mars,orders@mars.com,true,,,,,,,,,,,,,
CND-011,Reese's Peanut Butter Cup 1.5oz,Reese's Peanut Butter Cup 2-Pack 1.5oz,Candy,034000000134,1.79,0.95,8.25,567,36,300,48,150,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-012,Reese's Pieces 1.53oz,Reese's Pieces Candy 1.53oz,Candy,034000000141,1.79,0.95,8.25,489,36,300,48,150,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-013,Kit Kat Bar 1.5oz,Kit Kat Crisp Wafers 1.5oz,Candy,034000000158,1.79,0.95,8.25,512,36,300,48,150,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-014,Almond Joy Bar 1.61oz,Almond Joy Candy Bar 1.61oz,Candy,034000000165,1.79,0.95,8.25,445,36,300,48,150,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-015,PayDay Bar 1.85oz,PayDay Peanut Caramel Bar 1.85oz,Candy,040000000172,1.79,0.95,8.25,534,36,300,48,150,each,PayDay,orders@payday.com,true,,,,,,,,,,,,,
CND-016,Butterfinger Bar 1.9oz,Butterfinger Candy Bar 1.9oz,Candy,028000000189,1.79,0.95,8.25,467,36,300,48,150,each,Ferrero,orders@ferrero.com,true,,,,,,,,,,,,,
CND-017,Skittles Original 2.17oz,Skittles Original Fruit Candies 2.17oz,Candy,022000000035,1.99,1.05,8.25,623,36,300,48,150,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-018,Skittles Sour 1.8oz,Skittles Sour Candy 1.8oz,Candy,022000000042,1.99,1.05,8.25,578,36,300,48,150,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-019,Starburst Original 2.07oz,Starburst Original Fruit Chews 2.07oz,Candy,022000000059,1.99,1.05,8.25,634,36,300,48,150,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-020,Starburst FaveREDs 2.07oz,Starburst FaveREDs Fruit Chews 2.07oz,Candy,022000000066,1.99,1.05,8.25,589,36,300,48,150,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-021,Haribo Goldbears 5oz,Haribo Goldbears Gummy Bears 5oz,Candy,042238000073,2.99,1.55,8.25,234,18,120,24,60,each,Haribo,orders@haribo.com,true,,,,,,,,,,,,,
CND-022,Sour Patch Kids 5oz,Sour Patch Kids Soft Candy 5oz,Candy,038700000080,2.99,1.55,8.25,245,18,120,24,60,each,Sour Patch,orders@sourpatch.com,true,,,,,,,,,,,,,
CND-023,Swedish Fish 5oz,Swedish Fish Soft Candy 5oz,Candy,038700000097,2.99,1.55,8.25,267,18,120,24,60,each,Swedish Fish,orders@swedishfish.com,true,,,,,,,,,,,,,
CND-024,Jolly Rancher Original 7oz,Jolly Rancher Hard Candy 7oz,Candy,010700000103,3.49,1.85,8.25,189,18,120,24,60,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-025,Lifesavers 5 Flavors 6.25oz,Lifesavers 5 Flavors 6.25oz,Candy,022000000110,2.99,1.55,8.25,198,18,120,24,60,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-026,Trolli Sour Brite Crawlers 5oz,Trolli Sour Brite Crawlers 5oz,Candy,041600000127,2.99,1.55,8.25,156,18,120,24,60,each,Trolli,orders@trolli.com,true,,,,,,,,,,,,,
CND-027,Airheads Variety 5oz,Airheads Variety Pack 5oz,Candy,073390000134,2.99,1.55,8.25,167,18,120,24,60,each,Perfetti Van Melle,orders@pvm.com,true,,,,,,,,,,,,,
CND-028,Ring Pop 0.5oz,Ring Pop Candy Jewel 0.5oz,Candy,079200000141,1.29,0.65,8.25,367,36,300,48,150,each,Topps,orders@topps.com,true,,,,,,,,,,,,,
CND-029,Nerds Rope 0.92oz,Nerds Rope Candy 0.92oz,Candy,079200000158,1.49,0.75,8.25,298,36,300,48,150,each,Nerds,orders@nerds.com,true,,,,,,,,,,,,,
CND-030,Twizzlers Strawberry 7oz,Twizzlers Strawberry Twists 7oz,Candy,034000000165,2.99,1.55,8.25,189,18,120,24,60,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-031,Red Vines Original 5oz,Red Vines Original Red Licorice 5oz,Candy,041620000172,2.49,1.25,8.25,178,18,120,24,60,each,American Licorice,orders@redvines.com,true,,,,,,,,,,,,,
CND-032,Gum Extra Spearmint 15ct,Extra Spearmint Sugarfree Gum 15ct,Candy,022000000042,1.49,0.75,8.25,712,48,400,60,200,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-033,Gum Extra Peppermint 15ct,Extra Peppermint Sugarfree Gum 15ct,Candy,022000000059,1.49,0.75,8.25,734,48,400,60,200,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-034,Gum Orbit Peppermint 14ct,Orbit Peppermint Sugarfree Gum 14ct,Candy,022000000066,1.49,0.75,8.25,745,48,400,60,200,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-035,Gum Orbit Spearmint 14ct,Orbit Spearmint Sugarfree Gum 14ct,Candy,022000000073,1.49,0.75,8.25,689,48,400,60,200,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-036,Gum Orbit Sweet Mint 14ct,Orbit Sweet Mint Sugarfree Gum 14ct,Candy,022000000080,1.49,0.75,8.25,756,48,400,60,200,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-037,Gum Trident Spearmint 18ct,Trident Spearmint Sugarfree Gum 18ct,Candy,012500000097,1.49,0.75,8.25,678,48,400,60,200,each,Mondelez,orders@mondelez.com,true,,,,,,,,,,,,,
CND-038,Gum Trident Peppermint 18ct,Trident Peppermint Sugarfree Gum 18ct,Candy,012500000103,1.49,0.75,8.25,234,48,400,60,200,each,Mondelez,orders@mondelez.com,true,,,,,,,,,,,,,
CND-039,Gum 5 React Mint 15ct,5 React Mint Sugarfree Gum 15ct,Candy,022000000120,1.49,0.75,8.25,189,48,400,60,200,each,Wrigley,orders@wrigley.com,true,,,,,,,,,,,,,
CND-040,Gum Ice Breakers Ice Cubes 40ct,Ice Breakers Ice Cubes Gum 40ct,Candy,034000000137,3.99,2.15,8.25,198,12,80,18,40,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-041,Breath Savers Peppermint 1.27oz,Breath Savers Peppermint 1.27oz,Candy,034000000144,2.49,1.35,8.25,367,24,200,36,100,each,Hershey,orders@hersheys.com,true,,,,,,,,,,,,,
CND-042,Tic Tac Fresh Mint 1oz,Tic Tac Fresh Mint 1oz,Candy,036200000151,1.49,0.75,8.25,245,48,400,60,200,each,Ferrero,orders@ferrero.com,true,,,,,,,,,,,,,
CND-043,Tic Tac Orange 1oz,Tic Tac Orange 1oz,Candy,036200000168,1.49,0.75,8.25,234,48,400,60,200,each,Ferrero,orders@ferrero.com,true,,,,,,,,,,,,,
